"1980-4814";"ABCustos (São Leopoldo, RS)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2237-5139";"ADM.MADE";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1012-8255";"Academia (Caracas)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1042-9670";"Academic Psychiatry";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1537-260X";"Academy of Management Learning & Education";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"0001-4575";"Accident Analysis and Prevention";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0102-6712";"Acta Limnológica Brasiliensia";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1679-7361";"Acta Scientiarum. Human and Social Sciences (Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1518-9929";"Adm. MADE (Universidade Estácio de Sá)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2175-5787";"Administração Pública e Gestão Social";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2042-4868";"Advance Journal of Food Science and Technology";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2042-4876";"Advanced Journal of Food Science and Technology";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0882-6110";"Advances in Accounting";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2164-2648";"Advances in Infectious Diseases";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1983-8611";"Advances in Scientific and Applied Accounting";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0103-3557";"Agora (Florianopolis)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1316-0354";"Agroalimentaria (Caracas)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0100-4298";"Agroanalysis (FGV)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1510-0839";"Agrociencia (Montevideo)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0002-1962";"Agronomy Journal (Print)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1518-8728";"Alceu (PUCRJ)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1981-5433";"Almanaque Unigranrio de Pesquisa";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B5"
"1809-4422";"Ambiente & Sociedade (Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1678-8621";"Ambiente Construído (Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
